query,link
HMRC online services: sign in or set up an account,/log-in-register-hmrc-online-services
File your Self Assessment tax return online,/log-in-file-self-assessment-tax-return
Sign in to your childcare account,/sign-in-childcare-account
View and prove your immigration status: get a share code,/view-prove-immigration-status
Self Assessment tax returns,/self-assessment-tax-returns
Personal tax account: sign in or set up,/personal-tax-account
Check your State Pension forecast,/check-state-pension
Check your Council Tax band,/council-tax-bands
Tax your vehicle,/vehicle-tax
Prove your right to work to an employer,/prove-right-to-work
Check if a vehicle is taxed,/check-vehicle-tax
Contact HMRC,/contact-hmrc
Sign in to your Universal Credit account,/sign-in-universal-credit
Check your National Insurance record,/check-national-insurance-record
Apply for your first provisional driving licence,/apply-first-provisional-driving-licence
View or share your driving licence information,/view-driving-licence
Companies House ,/government/organisations/companies-house
Find an apprenticeship,/apply-apprenticeship
Sign in to a service,/sign-in
Check the MOT status of a vehicle,/check-mot-status
Pay your Self Assessment tax bill,/pay-self-assessment-tax-bill
Renew or replace your adult passport,/renew-adult-passport
Check if you need a UK visa,/check-uk-visa
Apply online for a UK passport,/apply-renew-passport
Renew your driving licence,/renew-driving-licence
Book your theory test,/book-theory-test
Skilled Worker visa,/skilled-worker-visa
Book your driving test,/book-driving-test
Apply to the EU Settlement Scheme (settled and pre-settled status),/settled-status-eu-citizens-families
Cost of Living Payments 2023 to 2024,/guidance/cost-of-living-payment
Find your UTR number,/find-utr-number
Find a job,/find-a-job
Check the MOT history of a vehicle,/check-mot-history
"5. Axles, wheels, tyres and suspension",/guidance/mot-inspection-manual-for-private-passenger-and-light-commercial-vehicles/5-axles-wheels-tyres-and-suspension
Introduction,/guidance/mot-inspection-manual-for-private-passenger-and-light-commercial-vehicles/introduction
"Tell DVLA you've sold, transferred or bought a vehicle",/sold-bought-vehicle
Get information about a company,/get-information-about-a-company
"4. Lamps, reflectors and electrical equipment",/guidance/mot-inspection-manual-for-private-passenger-and-light-commercial-vehicles/4-lamps-reflectors-and-electrical-equipment
Update your UK Visas and Immigration account details,/update-uk-visas-immigration-account-details
Universal Credit,/universal-credit
Graduate visa,/graduate-visa
Change your driving test appointment,/change-driving-test
